,First,,,,,,,,Second,,,,,,,,Third,,,,,,,,Fourth,,,,,,,,Fifth,,,,,,,
Chest,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8
Total Load,0,"8,690","6,085","2,360","7,300",,,,"7,915","10,441","7,798","13,054","5,665","11,595","10,251",0,"8,790","5,500","8,148","9,188","8,755",,,,"6,910",,"7,910","6,170","11,440","9,842","10,520","12,434","12,075",0,"15,804","13,600",0,"16,595",,
Total Sets,0,15,14,8,13,,,,12,13,13,18,8,14,18,0,12,11,14,14,12,,,,15,,15,12,19,17,19,21,23,0,24,20,0,27,,
Total Reps,0,141,136,88,129,,,,125,121,192,190,79,151,198,0,125,104,180,180,165,,,,235,,212,163,209,219,235,237,259,0,264,255,0,373,,
Weights Per Rep,,62,45,27,57,,,,63,86,41,69,72,77,52,,70,53,45,51,53,,,,29,,37,38,55,45,45,52,47,,60,53,,44,,
Percentage Change,,0%,-38%,-67%,53%,,,,10%,27%,-110%,41%,4%,6%,-48%,,,-32%,-18%,12%,4%,,,,-83%,,22%,3%,31%,-22%,0%,13%,-11%,,22%,-13%,,-20%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shoulders,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8
Total Load,720,390,0,"1,560","1,440",,,,580,"2,920","3,240","3,290","2,050",0,300,"3,610",0,"1,765","3,060","3,590",0,,,,0,0,"1,942",0,0,"5,948","4,618","7,264","9,374",0,"9,740","8,290","7,800","7,460",,
Total Sets,4,4,0,9,8,,,,5,9,15,14,7,0,3,13,0,13,10,10,0,,,,0,0,7,0,0,20,18,24,27,0,26,25,25,25,,
Total Reps,48,39,0,120,96,,,,58,86,150,142,70,0,30,154,0,121,119,142,0,,,,0,0,82,0,0,279,248,327,351,0,360,369,389,399,,
Weights Per Rep,15,10,,13,15,,,,10,34,22,23,29,,10,23,,15,26,25,,,,,,,24,,,21,19,22,27,,27,22,20,19,,
Percentage Change,0%,-50%,,23%,13%,,,,-50%,71%,-55%,4%,21%,,-190%,57%,,100%,42%,-4%,,,,,,,-4%,,,-14%,-11%,14%,19%,,0%,-23%,-10%,-5%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triceps,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8
Total Load,"6,088","6,036","7,275",0,0,,,,0,"3,600","3,600","4,865","1,050",0,0,"4,995",0,"1,170","1,960","2,150",0,,,,"1,150","1,710","1,138","2,867","2,722",0,"5,090","5,700","7,070","7,070","7,878","3,740","4,220","3,620",,
Total Sets,8,6,9,0,0,,,,0,6,10,10,6,0,0,10,0,6,6,6,0,,,,6,4,3,6,5,0,12,15,16,16,19,12,12,13,,
Total Reps,88,74,125,0,0,,,,0,68,120,121,66,0,0,114,0,55,66,84,0,,,,84,57,40,73,65,0,145,179,183,183,204,142,151,196,,
